rPos_deg,AOTU002_a,AOTU002_c,AOTU005_3,AOTU015_4,AOTU016_a,AOTU016_c,AOTU019_7,AOTU025_8,AOTU026_9,AOTU027_10,LAL026_a,LAL027_12,LAL028_13,LAL029_e
82.7586206896552,5.11536205885311e-17,0.00260018028097551,0.206247166700909,0.232246092690883,0.200642419874064,0.00991143800411514,0.342639678430766,0.668110069592282,0.120183847612271,0.0733200298204365,0.23356648970241,0.218907402276647,0.30442546920561,0.149739418962869
83.1465517241379,5.11536205885311e-17,0.0021965082719316,0.206259281148023,0.231415403121699,0.196823113235358,0.00974801037877506,0.337015287663482,0.666442280314064,0.120015459170041,0.0728029621770661,0.234144957724866,0.218551912904747,0.30479862966172,0.150282773834927
83.5344827586207,5.11536205885311e-17,0.00181563102719942,0.206202057854844,0.230525976224231,0.193192304650613,0.00956603734406557,0.331516999607324,0.66517926645065,0.11988374442201,0.0723086253800674,0.234905921600092,0.21817195165191,0.305395300015649,0.150961345307568
83.9224137931034,2.72819309805499e-17,0.00146792351964358,0.206203940770077,0.229706756303485,0.189874277100955,0.00937580798026379,0.326249015508778,0.664546050224576,0.119797889329911,0.0718330754125164,0.235768230101616,0.217818841542787,0.306264639680369,0.151669082150839
84.3103448275862,2.72819309805499e-17,0.00116114510357664,0.206208847986762,0.22893410564469,0.186729304674108,0.0091755083181811,0.321065515005117,0.664637128653483,0.119807427592782,0.0713649355308102,0.236693508935964,0.217501728729793,0.307351339742759,0.152440627307763
84.698275862069,2.72819309805499e-17,0.000897406392384084,0.206188783651975,0.228195938815483,0.183957662727324,0.00896037777980089,0.31605887813895,0.665417536068652,0.119856265494101,0.0709417853387136,0.237602353981325,0.217193934639276,0.308601442870987,0.153243645820434
85.0862068965517,5.11536205885311e-17,0.000676717478755395,0.206130394130506,0.227488881359482,0.181498508084339,0.00874430402010627,0.311232152673119,0.666717151027256,0.11995804850373,0.0704728853100504,0.238466702264762,0.216810439609751,0.30999875849746,0.154070464869984
85.4741379310345,5.11536205885311e-17,0.000496374673024493,0.205991283281874,0.226809300095711,0.179188154386392,0.00852779681568214,0.306677450435764,0.668484075470172,0.12010694490405,0.0700038851864482,0.239278313924581,0.216369666065627,0.31151393251245,0.154882706392118
85.8620689655172,5.11536205885311e-17,0.000353038601679642,0.205765076231017,0.226179589816915,0.177083152463559,0.00831131279190427,0.302435341030463,0.670470855338613,0.120285178468931,0.0695166489813604,0.239996149278448,0.215881479251128,0.313109125996537,0.155550160193075
86.25,2.72819309805499e-17,0.000242076568154942,0.205523925895292,0.225563613915242,0.175061241944425,0.00809929895669395,0.29839023259828,0.672631886192976,0.120459868673521,0.069109684337127,0.240598700930279,0.215349873298602,0.314666114884793,0.156158006060107
86.6379310344828,5.11536205885311e-17,0.000158491327658675,0.20518823722769,0.224992384644325,0.173274790680921,0.00789147686739859,0.294628740931425,0.674819951572462,0.120626639292279,0.0686667351143849,0.241052705656632,0.214784849655011,0.316219780764666,0.156636622041986
87.0258620689655,5.11536205885311e-17,9.79995135100403e-05,0.204767983368372,0.224449523858876,0.171617839480119,0.00768847541464301,0.291293303864151,0.676934880358709,0.120763343395351,0.0681880350517749,0.241335022087386,0.214176020326736,0.317609123287717,0.157009146972811
87.4137931034483,5.11536205885311e-17,5.37179213133397e-05,0.204297143000809,0.22393123415055,0.170218475272216,0.00749573832597288,0.288465981342726,0.678823672440116,0.120890036870587,0.0677561737447295,0.241450810992557,0.213586258661816,0.318925977860932,0.157280358883637
87.801724137931,5.11536205885311e-17,3.35418006689993e-05,0.203834396694294,0.223407456886938,0.168979580285112,0.00731814511478952,0.286160258371348,0.680449437044452,0.120973690209241,0.0672894935512547,0.2415207858081,0.213044640783322,0.32007212920857,0.15750148592562
88.1896551724138,5.11536205885311e-17,8.76236662846606e-06,0.203301035298439,0.22283446067024,0.167984206782479,0.00715013557056051,0.28448322078141,0.681574827723331,0.120983901500205,0.0668417095273562,0.24145981615247,0.212533004518732,0.321035277960233,0.157560067717708
88.5775862068966,2.72819309805499e-17,1.84721407680807e-17,0.202780993348281,0.222237324792476,0.167098487331713,0.00699662131379388,0.283437164953096,0.681981913238726,0.120897689856973,0.0664263589193986,0.241311779269354,0.212080445274014,0.321788576502945,0.157562717284438
88.9655172413793,2.72819309805499e-17,1.84721407680807e-17,0.20233274515917,0.22156408343008,0.16635326739756,0.00686095075908442,0.282957178302053,0.681812577422934,0.120700393786036,0.0660506965726636,0.241131589291884,0.211709975346602,0.322302444474703,0.157555877049198
89.3534482758621,2.72819309805499e-17,1.84721407680807e-17,0.201874735360071,0.22078398937516,0.165803707019407,0.00673291696068381,0.28290258924231,0.680822022697977,0.120401089358489,0.065714038625618,0.240902758671283,0.211374643297984,0.322525597269625,0.15746150002437
89.7413793103448,5.11536205885311e-17,8.52560343142185e-18,0.201382803247324,0.219890660766091,0.165320456316811,0.0066132136902608,0.282911816472057,0.679062679630266,0.119991173124052,0.0653954296012245,0.24066205855752,0.211067910544358,0.32252551764351,0.157469498657921
90.1293103448276,5.11536205885311e-17,8.52560343142185e-18,0.200898947030619,0.218918194726742,0.164948674274753,0.00650557768421091,0.283120022633117,0.676662432982467,0.119461633400401,0.0650631787585074,0.240394727985748,0.210796077852789,0.322189362998893,0.157355988375019
90.5172413793103,5.11536205885311e-17,8.52560343142185e-18,0.200418825327313,0.217846405346809,0.164572318508383,0.00640979731571399,0.283479683276833,0.673480664862874,0.118817669930273,0.064763555833042,0.240135281349893,0.210503170085027,0.321614421993156,0.157289642295911
90.9051724137931,2.72819309805499e-17,8.52560343142185e-18,0.200041671001204,0.216678033690185,0.164148154620728,0.00631804983529283,0.284059083217925,0.669509763093005,0.118087686011726,0.0644436432802313,0.239926192373961,0.21017289102817,0.320857447040762,0.157284150742516
91.2931034482759,5.11536205885311e-17,8.52560343142185e-18,0.199623702216124,0.215481160447797,0.163712649981638,0.00623198526848783,0.284529545913813,0.665002679884528,0.117293794645866,0.0640606118993871,0.239796813915375,0.209839871592038,0.319942650192686,0.157367288071699
