neuropil,neuron,count
COURT_vnc_ABDNM,720575941618655615,0
COURT_vnc_ABDNM,720575941652653585,2306
COURT_vnc_ABDNM,720575941437175084,1213
COURT_vnc_ABDNM,720575941538336381,0
COURT_vnc_ABDNM,720575941557347364,0
COURT_vnc_ABDNM,720575941643172769,129
COURT_vnc_ABDNM,720575941644554184,0
COURT_vnc_ABDNM,720575941643215186,121
COURT_vnc_ABDNM,720575941524363778,48
COURT_vnc_ABDNM,720575941640076063,351
COURT_vnc_ABDNM,720575941448110261,0
COURT_vnc_ABDNM,720575941548947745,0
COURT_vnc_ABDNM,720575941668259249,0
COURT_vnc_ABDNM,720575941412156527,251
COURT_vnc_ABDNM,720575941578700881,0
COURT_vnc_ABDNM,720575941559484687,140
COURT_vnc_ABDNM,720575941456180461,0
COURT_vnc_ABDNM,720575941470584695,0
COURT_vnc_ABDNM,720575941476540702,58
COURT_vnc_ABDNM,720575941549211453,0
COURT_vnc_ABDNM,720575941552073790,0
COURT_vnc_ABDNM,720575941666950577,0
COURT_vnc_ABDNM,720575941611115750,0
COURT_vnc_ABDNM,720575941532304874,0
COURT_vnc_ABDNM,720575941564328455,679
COURT_vnc_ABDNM,720575941574878351,0
COURT_vnc_ABDNM,720575941612979420,0
COURT_vnc_ABDNM,720575941432096270,980
COURT_vnc_ABDNM,720575941549767423,0
COURT_vnc_ABDNM,720575941632475077,0
COURT_vnc_ABDNM,720575941399099427,0
COURT_vnc_ABDNM,720575941514675290,0
COURT_vnc_ABDNM,720575941496004475,0
COURT_vnc_ABDNM,720575941528375172,0
COURT_vnc_ABDNM,720575941443603626,0
COURT_vnc_ABDNM,720575941493557191,0
COURT_vnc_ABDNM,720575941445677332,0
COURT_vnc_ABDNM,720575941431399777,1518
COURT_vnc_ABDNM,720575941653970132,46
COURT_vnc_ABDNM,720575941518266584,0
COURT_vnc_ABDNM,720575941478383328,0
COURT_vnc_ABDNM,720575941456506015,0
COURT_vnc_ABDNM,720575941495266247,0
COURT_vnc_ABDNM,720575941439011675,268
COURT_vnc_ABDNM,720575941514447097,0
COURT_vnc_ABDNM,720575941539873917,4529
COURT_vnc_ABDNM,720575941502628695,0
COURT_vnc_ABDNM,720575941466873878,0
COURT_vnc_ABDNM,720575941565572455,537
COURT_vnc_ABDNM,720575941488845287,376
COURT_vnc_ABDNM,720575941495141063,0
COURT_vnc_ABDNM,720575941599389225,4196
COURT_vnc_ABDNM,720575941532942467,0
COURT_vnc_ABDNM,720575941654228180,4322
COURT_vnc_ABDNM,720575941567199790,0
COURT_vnc_ABDNM,720575941564438935,0
